Psize;PSize2;OD;OD2;thk;thk2;H
DN20;DN15;26.67;21.34;2.87;2.77;2.87
DN25;DN15>DN20;33.4;21.34>26.67;3.38;2.77>2.87;3.38
DN32;DN15>DN20>DN25;42.16;21.34>26.67>33.4;3.56;2.77>2.87>3.38;3.56
DN40;DN15>DN20>DN25>DN32;48.26;21.34>26.67>33.4>42.16;3.68;2.77>2.87>3.38>3.56;3.68
DN50;DN20>DN25>DN32>DN40;60.32;26.67>33.4>42.16>48.26;3.91;2.87>3.38>3.56>3.68;3.91
DN65;DN25>DN32>DN40>DN50;73.02;33.4>42.16>48.26>60.32;5.16;3.38>3.56>3.68>3.91;5.16
DN80;DN32>DN40>DN50>DN65;88.9;42.16>48.26>60.32>73.02;5.49;3.56>3.68>3.91>5.16;5.49
DN90;DN32>DN40>DN50>DN65>DN80;101.6;42.16>48.26>60.32>73.02>88.9;5.74;3.56>3.68>3.91>5.16>5.49;5.74
DN100;DN40>DN50>DN65>DN80>DN90;114.3;48.26>60.32>73.02>88.9>101.6;2.31;3.68>3.91>5.16>5.49>5.74;2.31
DN125;DN50>DN65>DN80>DN90>DN100;141.3;60.32>73.02>88.9>101.6>114.3;2.31;3.91>5.16>5.49>5.74>6.02;2.31
DN150;DN65>DN80>DN90>DN100>DN125;168.27;73.02>88.9>101.6>114.3>141.3;2.77;5.16>5.49>5.74>6.02>6.55;2.77
DN200;DN90>DN100>DN125>DN150;219.07;101.6>114.3>141.3>168.27;2.87;5.74>6.02>6.55>7.11;2.87
DN250;DN100>DN125>DN150>DN200;273.05;114.3>141.3>168.27>219.07;3.38;6.02>6.55>7.11>8.18;3.38
DN300;DN125>DN150>DN200>DN250;323.85;141.3>168.27>219.07>273.05;3.38;6.55>7.11>8.18>7.8;3.38
DN350;DN150>DN200>DN250>DN300;355.6;168.27>219.07>273.05>323.85;3.56;7.11>8.18>7.8>9.52;3.56
DN400;DN200>DN250>DN300>DN350;406.4;219.07>273.05>323.85>355.6;3.68;8.18>7.8>9.52>9.52;3.68
DN450;DN250>DN300>DN350>DN400;457.2;273.05>323.85>355.6>406.4;3.68;7.8>9.52>9.52>9.52;3.68
DN500;DN300>DN350>DN400>DN450;508;323.85>355.6>406.4>457.2;3.91;9.52>9.52>9.52>9.52;3.91
DN550;DN350>DN400>DN450>DN500;558.8;355.6>406.4>457.2>508;3.91;9.52>9.52>9.52>9.52;3.91
DN600;DN400>DN450>DN500>DN550;609.6;406.4>457.2>508>558.8;3.91;9.52>9.52>9.52>9.52;3.91
